year,opening_gross,title,
1985,11.15,Back to the Future,
1986,3.22,The Great Mouse Detective,
1987,4.74,Innerspace,
1990,21.74,Die Hard 2: Die Harder,
1991,31.77,Terminator 2: Judgment Day,
1992,13.74,A League of Their Own,
1993,25.4,The Firm,
1995,25.35,Apollo 13,
1996,50.23,Independence Day,
1997,51.07,Men in Black,
1998,36.09,Armageddon,
1999,27.69,Wild Wild West,
2000,41.33,The Perfect Storm,
2001,21.71,Cats & Dogs,
2002,52.15,Men in Black II, 
2003,44.04,Terminator 3: Rise of the Machines,
2004,88.16,Spider-Man 2,
2005,64.88,War of the Worlds,
2006,52.54,Superman Returns,
2007,70.5,Transformers,
2008,62.6,Hancock,
2009,41.69,Ice Age: Dawn of the Dinosaurs,
2010,40.33,The Last Airbender,
2011,97.85,Transformers: Dark of the Moon,
2012,62,The Amazing Spider-Man,
2013,83.52,Despicable Me 2,
2014,21.58,Tammy,
2015,27.02,Terminator: Genisys,
2016,38.53,The Legend of Tarzan
